btc_market_price(t-1);btc_market_price(t-2);btc_market_price(t-3);btc_market_price(t-4);btc_market_price(t-5);btc_market_price(t-6);btc_market_price(t-7);btc_market_price(t-8);btc_market_price(t-9);btc_market_price(t-10);btc_hash_rate(t-1);btc_hash_rate(t-2);btc_hash_rate(t-3);btc_hash_rate(t-4);btc_hash_rate(t-5);btc_hash_rate(t-6);btc_hash_rate(t-7);btc_hash_rate(t-8);btc_hash_rate(t-9);btc_hash_rate(t-10);btc_hash_rate(t-11);btc_hash_rate(t-12);btc_hash_rate(t-13);btc_hash_rate(t-14);btc_hash_rate(t-15);btc_hash_rate(t-16);btc_hash_rate(t-17);btc_hash_rate(t-18);btc_hash_rate(t-19);btc_hash_rate(t-20);btc_miners_revenue(t-1);btc_miners_revenue(t-2);btc_miners_revenue(t-3);btc_miners_revenue(t-4);btc_miners_revenue(t-5);btc_miners_revenue(t-6);btc_miners_revenue(t-7);btc_miners_revenue(t-8);btc_miners_revenue(t-9);btc_miners_revenue(t-10);btc_estimated_transaction_volume_usd(t-1);btc_estimated_transaction_volume_usd(t-2);btc_estimated_transaction_volume_usd(t-3);btc_estimated_transaction_volume_usd(t-4);btc_estimated_transaction_volume_usd(t-5);btc_estimated_transaction_volume_usd(t-6);btc_estimated_transaction_volume_usd(t-7);btc_estimated_transaction_volume_usd(t-8);btc_estimated_transaction_volume_usd(t-9);btc_estimated_transaction_volume_usd(t-10);btc_market_price(t)
0.06;0.06;0.06;0.06;0.07;0.07;0.07;0.07;0.07;0.07;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;466.97;509.49;507.2;571.12;514.05;581.75;691.59;685.61;660.68;556.95;1347.0;862.0;1751.0;688.0;845.0;1579.0;1224.0;779.0;1990.0;1410.0;0.06
0.06;0.06;0.06;0.06;0.06;0.07;0.07;0.07;0.07;0.07;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.12;466.97;509.49;507.2;571.12;514.05;581.75;691.59;685.61;660.68;1015.0;1347.0;862.0;1751.0;688.0;845.0;1579.0;1224.0;779.0;1990.0;0.06
0.06;0.06;0.06;0.06;0.06;0.06;0.07;0.07;0.07;0.07;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;502.2;471.12;466.97;509.49;507.2;571.12;514.05;581.75;691.59;685.61;556.0;1015.0;1347.0;862.0;1751.0;688.0;845.0;1579.0;1224.0;779.0;0.06
0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.07;0.07;0.07;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;508.48;502.2;471.12;466.97;509.49;507.2;571.12;514.05;581.75;691.59;1412.0;556.0;1015.0;1347.0;862.0;1751.0;688.0;845.0;1579.0;1224.0;0.18
0.18;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.07;0.07;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1645.0;508.48;502.2;471.12;466.97;509.49;507.2;571.12;514.05;581.75;4780.0;1412.0;556.0;1015.0;1347.0;862.0;1751.0;688.0;845.0;1579.0;0.06
0.06;0.18;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.07;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;657.72;1645.0;508.48;502.2;471.12;466.97;509.49;507.2;571.12;514.05;1792.0;4780.0;1412.0;556.0;1015.0;1347.0;862.0;1751.0;688.0;845.0;0.06
0.06;0.06;0.18;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;657.29;657.72;1645.0;508.48;502.2;471.12;466.97;509.49;507.2;571.12;2963.0;1792.0;4780.0;1412.0;556.0;1015.0;1347.0;862.0;1751.0;688.0;0.06
0.06;0.06;0.06;0.18;0.06;0.06;0.06;0.06;0.06;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;560.21;657.29;657.72;1645.0;508.48;502.2;471.12;466.97;509.49;507.2;1236.0;2963.0;1792.0;4780.0;1412.0;556.0;1015.0;1347.0;862.0;1751.0;0.06
0.06;0.06;0.06;0.06;0.18;0.06;0.06;0.06;0.06;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;0.0;667.8;560.21;657.29;657.72;1645.0;508.48;502.2;471.12;466.97;509.49;3306.0;1236.0;2963.0;1792.0;4780.0;1412.0;556.0;1015.0;1347.0;862.0;0.06
0.06;0.06;0.06;0.06;0.06;0.18;0.06;0.06;0.06;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;0.0;630.24;667.8;560.21;657.29;657.72;1645.0;508.48;502.2;471.12;466.97;1066.0;3306.0;1236.0;2963.0;1792.0;4780.0;1412.0;556.0;1015.0;1347.0;0.06
0.06;0.06;0.06;0.06;0.06;0.06;0.18;0.06;0.06;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;0.0;740.25;630.24;667.8;560.21;657.29;657.72;1645.0;508.48;502.2;471.12;1445.0;1066.0;3306.0;1236.0;2963.0;1792.0;4780.0;1412.0;556.0;1015.0;0.06
0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.18;0.06;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;0.01;550.44;740.25;630.24;667.8;560.21;657.29;657.72;1645.0;508.48;502.2;4666.0;1445.0;1066.0;3306.0;1236.0;2963.0;1792.0;4780.0;1412.0;556.0;0.06
0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.18;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;0.01;483.59;550.44;740.25;630.24;667.8;560.21;657.29;657.72;1645.0;508.48;2350.0;4666.0;1445.0;1066.0;3306.0;1236.0;2963.0;1792.0;4780.0;1412.0;0.06
0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.18;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.0;0.01;0.0;0.01;0.01;371.47;483.59;550.44;740.25;630.24;667.8;560.21;657.29;657.72;1645.0;18961.0;2350.0;4666.0;1445.0;1066.0;3306.0;1236.0;2963.0;1792.0;4780.0;0.06
